,date,name,ndvi_mean,ndvi_std,ndre_mean,ndre_std,evi_mean,evi_std,cire_mean,cire_std,mcari_mean,mcari_std,msavi_mean,msavi_std
0,2024-11-02,24,,,,,0.0,0.0,,,,,0.0,0.0
1,2024-11-02,25,,,,,0.0,0.0,,,,,0.0,0.0
2,2024-11-02,26,,,,,0.0,0.0,,,,,0.0,0.0
3,2024-11-02,27,0.4270405938989636,0.014745625188591757,0.36360957213946976,0.011890897990857205,0.019112902031546475,0.1440201625498128,1.1438212229140667,0.0586814094188837,76.14322299281426,10.769990343330932,-108.60822510822511,1118.504940597108
4,2024-11-02,28,0.5316517311897648,0.019191118184895217,0.3737496372036787,0.008703101526326112,0.02082015721738761,0.13707030538863432,1.1942278289416492,0.044390695391160584,30999.665595437833,30983.10917520437,-87.73295454545455,788.2391478827393
5,2024-11-02,29,0.20559229702988152,0.015602634646359236,0.1566099854625976,0.01158236649838747,0.0379476168712699,0.12147473719673538,0.37182645201988795,0.03235930423187851,348.0427281993225,55.826444678430974,-652.6111111111111,2251.6007286350023
6,2024-11-02,30,0.5447273472171758,0.020272771376058093,0.4513241173696971,0.029843788308923685,0.2666158758106125,0.5743441173469269,1.6561243885475907,0.2023942001566823,24727.1489122076,30601.603715778845,-1246.940170940171,3318.861868018099
7,2024-11-02,31,0.5330151994531034,0.0227084802828376,0.44663184433882774,0.03307691513568675,0.41802234366598506,0.7230622160132749,1.6277232363354115,0.2268457423282323,27661.791855161006,30709.280519591928,-1584.4185606060605,3563.712850427128
8,2024-11-02,32,0.21806045109912775,0.02779249368317906,0.1703497734193357,0.029457537931513303,0.16514059754046964,0.2505041697790655,0.41370728801851436,0.086070218333912,233.98286615645804,87.09489757287126,-2631.6435185185187,4625.672582152006
9,2024-11-02,33,0.26974825837015487,0.12692044568633207,0.21065994712989689,0.10678528554360318,0.2936244434752772,0.3811585650422674,0.5941908688893215,0.44979931521381344,3575.3586614108763,14034.669644219755,-3644.808783783784,5000.998285233592
10,2024-11-02,34,0.39630971693969663,0.08442628148048364,0.29401365523999057,0.06665676975887748,0.41572967555846013,0.4196343933601867,0.85915331319576,0.2788436078062822,4755.444039009354,16581.279176211137,-3287.515740740741,4724.499925646885
11,2024-11-02,35,0.3086467892490158,0.03244293419178249,0.21725237696858962,0.032857920581354304,0.28843955643527225,0.3019541570957218,0.5597776931685177,0.11175179768216435,132.97989539197448,57.27308059486086,-3643.619113573407,5021.877046651434
12,2024-11-02,36,0.5122258725656491,0.031198588781751573,0.42428703065230094,0.041675819062107274,1.0082486186880188,0.6717341935076574,1.4917024039751352,0.24681749867883812,12779.825816022012,25399.2270843777,-4603.962121212121,4791.028227014535
13,2024-11-02,37,0.39814287470176646,0.07119496567584332,0.30371895736926224,0.05691606854793778,0.601707034761796,0.45543148567712477,0.8913822940333345,0.23296882163519936,3556.0478793629786,14446.05905494822,-4765.257763975155,4983.31145019501
14,2024-11-02,38,0.5105100750959458,0.08129597211483389,0.41591038473029457,0.0840921471553366,1.005343657838262,0.6611885237534169,1.4895193305481405,0.4573269563886747,22033.836632695595,29887.802270431435,-4870.086419753086,5045.781278619539
15,2024-11-02,39,0.31959107160637307,0.0405955883055489,0.2449892401828881,0.03642011526481583,0.23150738980693017,0.3312444524665442,0.6551564947120658,0.12866318681597194,170.39725806073068,81.65825346003237,-2428.0723140495866,4258.974077656595
16,2024-11-02,40,0.21933281935287924,0.030549627598120535,0.17130388274619437,0.03207371751088881,0.38155498964704404,0.1935583975231052,0.41715813001568025,0.09657243736554445,351.3921237700649,79.14281073249629,-6425.173553719008,5174.047541291879
17,2024-11-02,41,0.37309221729222786,0.042232002158429746,0.2897993873937062,0.044239045463352965,0.5121472167589032,0.41985587827595844,0.8276433710838842,0.18600410908253642,396.86920479105214,4223.1297416813495,-4753.366935483871,5295.586372124672
18,2024-11-02,42,0.20560396410930565,0.0323170757387689,0.16008147582787507,0.031085583569651125,0.3327142677252004,0.22087045483470022,0.3845106664383263,0.09004928597639415,310.73535816545916,75.88891816345537,-5450.233333333334,5057.444880075313
19,2024-11-02,43,0.46997334783441697,0.0598604952067929,0.39693247118338665,0.05899319661580805,0.9518111475981886,0.6763560508135777,1.3454293988770438,0.29963058304263734,6593.337320516427,19347.958259350606,-4807.326373626373,5043.847858679149
20,2024-11-02,44,0.4934522020493879,0.05064818782479614,0.4098888507056473,0.050900981133759876,1.0103697927439883,0.5788776309455274,1.4129369632535445,0.2772225263445766,4849.559689721655,16792.48648934853,-5098.700909090909,5004.019776239816
21,2024-11-02,45,0.5425027074890059,0.025557959718269234,0.3778882074437233,0.03039546049508399,0.646585518520453,0.4520208518320103,1.2224665619034059,0.15631791428651587,33344.8748981188,31575.428634406853,-4079.3011363636365,4940.672354260886
22,2024-11-02,46,0.41059139215296986,0.08150772779972731,0.3182233055239853,0.06283749657942898,0.7266357867410954,0.42465497108687134,0.9599270228606943,0.2878513473042223,6831.38521635316,19078.76843086597,-5134.026315789473,4982.282212316673
23,2024-11-02,47,0.5294375271018984,0.049438137918710746,0.36258770586808814,0.03281820548490849,0.6100718217608545,0.4121347388097262,1.145492387748056,0.1520863569701093,32005.25700391121,31486.800573357617,-4237.345454545454,4916.2194050140715
24,2024-11-02,48,0.3629106949813213,0.07618550478230061,0.2574061530247278,0.06266684512346178,0.492867712278521,0.3631884139361762,0.7151280502738306,0.2605025871296671,6341.573689256969,18598.15855282286,-4696.346726190476,4965.030412154616
