,0
2,-0.10795753454384792
3,-0.3909026225660947
5,0.10182145063444224
6,0.09100857429493296
10,-0.15040770046034496
12,-0.6911989644109443
15,-0.3963464433622657
16,-1.505792166611408
17,-1.2662449072649016
18,-1.3724375635459698
21,0.05048979782336668
22,0.01434581400369419
23,-0.20220525617326232
24,0.436697557332801
25,-0.5115125207306109
26,-0.5975201948743313
27,0.35424969146367424
28,-0.10581561634035885
30,0.5061266926525212
31,0.2597833506866612
34,0.5165008834165816
35,0.6195382561673993
36,0.5600971426908498
37,0.36081128255896167
38,1.068103085065255
39,0.8530033635580395
47,-0.9653764398771874
48,0.4812395470515914
53,0.9684672817273569
54,-0.11031471836328978
56,-1.8335688844099722
57,0.022039262934910837
58,-0.7884131507673205
59,-0.9091528555665783
61,1.0022557570429063
63,0.022380265099535293
64,0.10881435437837614
65,-0.13474314496133763
66,-0.5499976497813155
67,-0.2909555315953196
68,-0.7988730311304024
73,-0.3345483011978397
74,0.2837782009229616
75,0.9465689495183995
76,-1.142522161773227
77,-0.9845473499175182
78,0.8638606917174149
80,-0.0939585848424901
82,-0.22044379832070152
83,0.33620497131241467
86,0.9375199871851103
87,0.543781081193504
88,0.7070982330661453
89,0.9515076177800834
91,-0.11688352802107697
92,0.07293759709587949
93,0.2821245595113115
94,-0.40793801645379796
95,-0.2038455687884877
99,1.137616485708559
101,-0.8346029879458314
102,0.11743835530076191
103,-0.23068645220762404
104,0.9309892222837918
105,-0.48975128687216707
106,1.3970989907723
107,-0.8383536987037457
108,0.12950311214197302
109,-0.3986210695140469
110,0.9194209025719727
111,1.0194948399143675
112,-1.2338891039313318
116,-1.2583646244295035
117,-0.058883196622916696
118,1.0671300133572572
119,-0.023188887937412393
120,1.1983984481721672
122,1.297715095638254
125,0.7748329042017561
126,-0.3130667093142297
127,0.9087299754024013
128,-0.22154564252618553
129,0.9360107379599485
131,0.4597664136179032
133,0.7751677221925463
134,0.4176771547493581
136,0.759342631816106
138,0.3808052054656189
139,-0.07586701185712397
141,0.4852537149021183
142,0.583941291861849
144,-1.480089731653055
145,-0.45776548211460527
146,-0.4778939873604907
148,-0.8612331120228919
153,0.4275839612579678
154,-0.7810454912745983
155,0.33299164082398097
156,0.6830188799962268
158,-2.1974312154679243
159,-0.6205048281372678
161,0.6839496286541172
167,-1.4493391554872677
178,-2.0171534919001557
198,0.0779667377937145
199,0.23775931479046522
200,0.18506219069426746
201,0.1330853591720365
202,0.04825602103151187
203,-0.006145257024207117
204,0.24200112834778204
205,0.2667656249514543
206,0.09003654745027459
207,0.08188107807491515
